,compound,created at,negative,neutral,positive,screen_name,text
190,0.6908,2018-03-01 14:15:29+00:00,0.0,0.725,0.275,CBS,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ"
191,0.0,2018-03-01 13:50:11+00:00,0.0,1.0,0.0,CBS,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01"
192,0.0,2018-03-01 01:04:52+00:00,0.0,1.0,0.0,CBS,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA
193,0.0,2018-02-28 19:56:58+00:00,0.0,1.0,0.0,CBS,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…"
194,0.4404,2018-02-28 19:08:30+00:00,0.0,0.884,0.116,CBS,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…"
195,0.5562,2018-02-27 03:23:47+00:00,0.0,0.848,0.152,CBS,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…
196,0.0,2018-02-26 22:50:32+00:00,0.0,1.0,0.0,CBS,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…"
197,0.0,2018-02-26 21:08:30+00:00,0.0,1.0,0.0,CBS,"RT @ACMawards: That’s right! @Reba is headed to @CBSThisMorning on Thursday, March 1 to announce this year’s #ACMAwards' nominees. Tune in…"
198,0.4482,2018-02-26 19:53:41+00:00,0.0,0.895,0.105,CBS,"RT @ScorpionCBS: You can't hack your way to a 197 IQ, but you are well on your way with these Genius Facts from #TeamScorpion! ? You can be…"
199,0.784,2018-02-26 18:32:36+00:00,0.0,0.734,0.266,CBS,RT @SuperiorDonuts: You can always count on @DavidKoechner for a laugh! Did your favorite Tush moment make the list? Catch a new #SuperiorD…
200,0.2263,2018-03-30 03:31:04+00:00,0.0,0.899,0.101,CNN,Spotify is about to go public — and one analyst thinks it could be worth $43.5 billion https://t.co/YFGqBucxsX https://t.co/oxHsXGdhVh
201,-0.4767,2018-03-30 03:24:51+00:00,0.171,0.829,0.0,CNN,A London orchestra's brass section was so loud a violist says it ruined his hearing. A judge agreed.… https://t.co/6yNRrWsEdM
202,0.0,2018-03-30 03:16:07+00:00,0.0,1.0,0.0,CNN,The Trump administration plans to require nearly all visa applicants to the US to submit five years of social media… https://t.co/utAwtGucsr
203,-0.6705,2018-03-30 03:16:02+00:00,0.184,0.816,0.0,CNN,"Days after five members of the same family were killed when their SUV went over a cliff, investigators are still lo… https://t.co/TxwiLmAomF"
204,-0.2732,2018-03-30 03:01:07+00:00,0.137,0.773,0.09,CNN,Human rights lawyer Amal Clooney has agreed to represent two Reuters journalists who have been jailed in Myanmar an… https://t.co/8Bo1vTvhYY
205,-0.6908,2018-03-30 02:56:03+00:00,0.212,0.736,0.052,CNN,"Draylen Mason had just been admitted to a prestigious music school, but the 17-year-old died in the Austin bombings… https://t.co/kPiOxoRerr"
206,-0.4588,2018-03-30 02:51:02+00:00,0.176,0.824,0.0,CNN,"Sears CEO Eddie Lampert got a  24% raise last year, despite the company's financial troubles https://t.co/NTag87tUEB"
207,-0.6249,2018-03-30 02:44:45+00:00,0.267,0.733,0.0,CNN,"Howard University students protested following news that six university employees were fired for ""double-dipping"" f… https://t.co/j5wSHApjHt"
208,-0.296,2018-03-30 02:41:05+00:00,0.104,0.896,0.0,CNN,ExxonMobil won't be able to stop state investigations into whether it misled investors and the public about its kno… https://t.co/30xneAmd3x
209,0.2732,2018-03-30 02:37:06+00:00,0.0,0.87,0.13,CNN,"This Easter, don't let politics define forgiveness | By Bob Vander Plaats via @CNNOpinion https://t.co/tDbOCBMjEC https://t.co/fjGkv5PQTY"
210,0.4215,2018-03-30 02:31:05+00:00,0.0,0.865,0.135,CNN,"Johan van Hulst, a former Dutch senator and teacher who saved hundreds of Jewish children during the Holocaust, die… https://t.co/HPHHxgPK7p"
211,0.0,2018-03-30 02:22:07+00:00,0.0,1.0,0.0,CNN,Russia's RT television network will go dark in Washington DC https://t.co/TA4SmzpqoC https://t.co/yFyj9jXPd0
212,-0.5106,2018-03-30 02:17:30+00:00,0.163,0.837,0.0,CNN,"Judge Stephen Reinhardt, a liberal federal appeals court judge who was part of a panel that rejected California's P… https://t.co/OiL15dux5h"
213,0.25,2018-03-30 02:16:03+00:00,0.0,0.895,0.105,CNN,"Sarah Jessica Parker has endorsed her ""Sex and the City"" costar Cynthia Nixon for New York governor… https://t.co/kOxwnvg8EP"
214,0.0,2018-03-30 02:15:16+00:00,0.0,1.0,0.0,CNN,"A court once again orders a new trial for Adnan Syed, the subject of a ""Serial"" podcast https://t.co/f9awk8fpoI https://t.co/nGhyWFsoi3"
215,0.6808,2018-03-30 02:10:48+00:00,0.11,0.61,0.28,CNN,"RT @AC360: Fired VA secretary says his replacement is a ""person who is honorable and cares about our veterans"" and pledges to help him thro…"
216,0.0,2018-03-30 02:01:43+00:00,0.0,1.0,0.0,CNN,"The ""Sharknado"" movies will end after a sixth installment this summer https://t.co/LFghVNqMG3 https://t.co/xitTwRA2yp"
217,0.3612,2018-03-30 01:59:48+00:00,0.0,0.815,0.185,CNN,India is building a city from scratch to attract foreign investors https://t.co/0w7l1CpKA7 https://t.co/lrjXCDlua1
218,-0.296,2018-03-30 01:37:39+00:00,0.104,0.896,0.0,CNN,"China's rap scene has been frustrated by a crackdown.

Last year, the genre was having something of a heyday, but t… https://t.co/Kl8qQWAtXj"
219,-0.4767,2018-03-30 01:29:23+00:00,0.134,0.866,0.0,CNN,"There are visible, external signs that can indicate if something is wrong with your heart -- check your fingers, ea… https://t.co/wCXF1zrUlX"
220,0.2263,2018-03-30 03:31:04+00:00,0.0,0.899,0.101,CNN,Spotify is about to go public — and one analyst thinks it could be worth $43.5 billion https://t.co/YFGqBucxsX https://t.co/oxHsXGdhVh
221,-0.4767,2018-03-30 03:24:51+00:00,0.171,0.829,0.0,CNN,A London orchestra's brass section was so loud a violist says it ruined his hearing. A judge agreed.… https://t.co/6yNRrWsEdM
222,0.0,2018-03-30 03:16:07+00:00,0.0,1.0,0.0,CNN,The Trump administration plans to require nearly all visa applicants to the US to submit five years of social media… https://t.co/utAwtGucsr
223,-0.6705,2018-03-30 03:16:02+00:00,0.184,0.816,0.0,CNN,"Days after five members of the same family were killed when their SUV went over a cliff, investigators are still lo… https://t.co/TxwiLmAomF"
224,-0.2732,2018-03-30 03:01:07+00:00,0.137,0.773,0.09,CNN,Human rights lawyer Amal Clooney has agreed to represent two Reuters journalists who have been jailed in Myanmar an… https://t.co/8Bo1vTvhYY
225,-0.6908,2018-03-30 02:56:03+00:00,0.212,0.736,0.052,CNN,"Draylen Mason had just been admitted to a prestigious music school, but the 17-year-old died in the Austin bombings… https://t.co/kPiOxoRerr"
226,-0.4588,2018-03-30 02:51:02+00:00,0.176,0.824,0.0,CNN,"Sears CEO Eddie Lampert got a  24% raise last year, despite the company's financial troubles https://t.co/NTag87tUEB"
227,-0.6249,2018-03-30 02:44:45+00:00,0.267,0.733,0.0,CNN,"Howard University students protested following news that six university employees were fired for ""double-dipping"" f… https://t.co/j5wSHApjHt"
228,-0.296,2018-03-30 02:41:05+00:00,0.104,0.896,0.0,CNN,ExxonMobil won't be able to stop state investigations into whether it misled investors and the public about its kno… https://t.co/30xneAmd3x
229,0.2732,2018-03-30 02:37:06+00:00,0.0,0.87,0.13,CNN,"This Easter, don't let politics define forgiveness | By Bob Vander Plaats via @CNNOpinion https://t.co/tDbOCBMjEC https://t.co/fjGkv5PQTY"
230,0.4215,2018-03-30 02:31:05+00:00,0.0,0.865,0.135,CNN,"Johan van Hulst, a former Dutch senator and teacher who saved hundreds of Jewish children during the Holocaust, die… https://t.co/HPHHxgPK7p"
231,0.0,2018-03-30 02:22:07+00:00,0.0,1.0,0.0,CNN,Russia's RT television network will go dark in Washington DC https://t.co/TA4SmzpqoC https://t.co/yFyj9jXPd0
232,-0.5106,2018-03-30 02:17:30+00:00,0.163,0.837,0.0,CNN,"Judge Stephen Reinhardt, a liberal federal appeals court judge who was part of a panel that rejected California's P… https://t.co/OiL15dux5h"
233,0.25,2018-03-30 02:16:03+00:00,0.0,0.895,0.105,CNN,"Sarah Jessica Parker has endorsed her ""Sex and the City"" costar Cynthia Nixon for New York governor… https://t.co/kOxwnvg8EP"
234,0.0,2018-03-30 02:15:16+00:00,0.0,1.0,0.0,CNN,"A court once again orders a new trial for Adnan Syed, the subject of a ""Serial"" podcast https://t.co/f9awk8fpoI https://t.co/nGhyWFsoi3"
235,0.6808,2018-03-30 02:10:48+00:00,0.11,0.61,0.28,CNN,"RT @AC360: Fired VA secretary says his replacement is a ""person who is honorable and cares about our veterans"" and pledges to help him thro…"
236,0.0,2018-03-30 02:01:43+00:00,0.0,1.0,0.0,CNN,"The ""Sharknado"" movies will end after a sixth installment this summer https://t.co/LFghVNqMG3 https://t.co/xitTwRA2yp"
